split,feature,comparison,left_count,right_count,ks_statistic,ks_pvalue,absolute_median_iqr_effect
validation,upper_shadow,BUY_vs_SELL,1703,1568,0.03517689371696997,0.2564012901695633,0.0007215623450417199
validation,lower_shadow,BUY_vs_NO_TRADE,1703,4720,0.08542029519193445,2.140272760903431e-08,0.14574410458155174
validation,lower_shadow,SELL_vs_NO_TRADE,1568,4720,0.046435057073676955,0.012014781837773384,0.0911673734457109
validation,lower_shadow,BUY_vs_SELL,1703,1568,0.051733435593849963,0.02414101963353899,0.05170351065903859
validation,day_of_week,BUY_vs_NO_TRADE,1703,4720,0.014384884102829454,0.9538793450624277,0.0
validation,day_of_week,SELL_vs_NO_TRADE,1568,4720,0.01384036665513666,0.9749675733924446,0.0
validation,day_of_week,BUY_vs_SELL,1703,1568,0.028225250757966114,0.5211471412037175,0.0
validation,is_weekend,BUY_vs_NO_TRADE,1703,4720,0.0,1.0,0.0
validation,is_weekend,SELL_vs_NO_TRADE,1568,4720,0.0,1.0,0.0
validation,is_weekend,BUY_vs_SELL,1703,1568,0.0,1.0,0.0
validation,hour_of_day,BUY_vs_NO_TRADE,1703,4720,0.24660768135991318,2.4007866544935854e-67,0.25
validation,hour_of_day,SELL_vs_NO_TRADE,1568,4720,0.21652758561051538,7.72571858354523e-49,0.15384615384615385
validation,hour_of_day,BUY_vs_SELL,1703,1568,0.04678718228336548,0.05374998899185265,0.125
validation,is_market_open,BUY_vs_NO_TRADE,1703,4720,0.0,1.0,0.0
validation,is_market_open,SELL_vs_NO_TRADE,1568,4720,0.0,1.0,0.0
validation,is_market_open,BUY_vs_SELL,1703,1568,0.0,1.0,0.0
validation,is_asia_session,BUY_vs_NO_TRADE,1703,4720,0.24660768135991318,2.4007866544935854e-67,0.0
validation,is_asia_session,SELL_vs_NO_TRADE,1568,4720,0.21652758561051533,7.72571858354523e-49,0.0
validation,is_asia_session,BUY_vs_SELL,1703,1568,0.03008009574939785,0.4394988972382488,0.0
validation,is_london_session,BUY_vs_NO_TRADE,1703,4720,0.18503712292365415,6.213623708401045e-38,0.0
validation,is_london_session,SELL_vs_NO_TRADE,1568,4720,0.1882199066067105,6.1380012357958515e-37,0.0
validation,is_london_session,BUY_vs_SELL,1703,1568,0.003182783683056356,1.0,0.0
validation,is_new_york_session,BUY_vs_NO_TRADE,1703,4720,0.21458418344496744,5.766877266944594e-51,0.0
validation,is_new_york_session,SELL_vs_NO_TRADE,1568,4720,0.18754756139744033,1.1216711943225648e-36,0.0
